filename,alt_text,image_title,category,width_px,height_px
01-cinematic-luxury-perfume-bottle-night.webp,Luxury perfume bottle in a cinematic dark setting with warm glowing highlights,Luxury perfume bottle in a cinematic dark setting with warm glowing highlights,perfume,1086,1448
02-gold-crowned-luxury-perfume-bottle.webp,Elegant gold luxury perfume bottle photographed on a dark premium background,Elegant gold luxury perfume bottle photographed on a dark premium background,perfume,1254,1254
03-ruby-red-perfume-bottle-with-blossoms.webp,Ruby red perfume bottle styled beside delicate blossoms in a luxury interior,Ruby red perfume bottle styled beside delicate blossoms in a luxury interior,perfume,1254,1254
04-black-gold-perfume-bottles-water-splash.webp,Black and gold luxury perfume bottles surrounded by a dramatic water splash,Black and gold luxury perfume bottles surrounded by a dramatic water splash,perfume,1254,1254
05-citrus-pineapple-luxury-perfume-display.webp,Luxury perfume bottle displayed with fresh citrus and pineapple-inspired elements,Luxury perfume bottle displayed with fresh citrus and pineapple-inspired elements,perfume,1254,1254
06-pastel-skincare-bottles-clean-beauty-display.webp,Pastel skincare bottles arranged on a clean glass shelf against a bright background,Pastel skincare bottles arranged on a clean glass shelf against a bright background,skincare,1254,1254
07-amber-skincare-dropper-serum-still-life.webp,Amber skincare serum bottle with dropper in a premium beauty still life,Amber skincare serum bottle with dropper in a premium beauty still life,skincare,1254,1254
08-gold-black-perfume-bottles-dynamic-splash.webp,Gold and black perfume bottles captured with a high-impact liquid splash,Gold and black perfume bottles captured with a high-impact liquid splash,perfume,1254,1254
09-lavender-vanilla-floral-perfume-still-life.webp,Soft pink perfume bottle styled with vanilla and delicate white flowers,Soft pink perfume bottle styled with vanilla and delicate white flowers,perfume,1254,1254
10-amber-glow-beauty-skincare-collection.webp,Amber-toned beauty and skincare collection photographed in warm editorial lighting,Amber-toned beauty and skincare collection photographed in warm editorial lighting,skincare,1254,1254
11-four-gradient-luxury-perfume-bottles.webp,"Four elegant perfume bottles in warm, blue, pink and clear gradient tones","Four elegant perfume bottles in warm, blue, pink and clear gradient tones",perfume,1448,1086
12-mens-fashion-shearling-coat-leather-bag.webp,Male fashion model in a shearling coat carrying a large black leather bag,Male fashion model in a shearling coat carrying a large black leather bag,fashion,1122,1402
13-pink-perfume-white-iris-flowers.webp,Elegant pink perfume bottle surrounded by soft white iris flowers,Elegant pink perfume bottle surrounded by soft white iris flowers,perfume,1254,1254
14-brown-leather-chain-hobo-handbag.webp,Brown leather hobo handbag with gold chain hardware on a dark studio background,Brown leather hobo handbag with gold chain hardware on a dark studio background,handbag,1254,1254
15-black-street-style-luxury-handbag.webp,Woman in a black street-style outfit carrying a structured black luxury handbag,Woman in a black street-style outfit carrying a structured black luxury handbag,fashion,1122,1402
16-mens-brown-leather-jacket-fashion-portrait.webp,Editorial portrait of a man wearing a brown leather jacket in moody studio light,Editorial portrait of a man wearing a brown leather jacket in moody studio light,fashion,1122,1402
17-pink-gold-quilted-makeup-compact.webp,Elegant pink and gold quilted makeup compact photographed on a clean background,Elegant pink and gold quilted makeup compact photographed on a clean background,beauty,1122,1402
18-rose-crystal-perfume-bottle-closeup.webp,Rose-toned crystal perfume bottle in a polished luxury close-up composition,Rose-toned crystal perfume bottle in a polished luxury close-up composition,perfume,1254,1254
19-lavender-bloom-floral-perfume-display.webp,Pink perfume bottle styled with white floral blooms and soft lavender tones,Pink perfume bottle styled with white floral blooms and soft lavender tones,perfume,1254,1254
20-ruffled-skirt-fashion-model-handbag.webp,Fashion model wearing a layered black ruffled skirt and carrying a brown handbag,Fashion model wearing a layered black ruffled skirt and carrying a brown handbag,fashion,1122,1402
21-premium-black-leather-belt-silver-buckle.webp,Premium black leather belt with polished silver buckle on a black background,Premium black leather belt with polished silver buckle on a black background,accessories,1254,1254
22-gold-rhinestone-pointed-mule-heels.webp,Gold pointed mule heels with rhinestone straps in a luxury product setup,Gold pointed mule heels with rhinestone straps in a luxury product setup,footwear,1086,1448
23-black-crocodile-texture-top-handle-handbag.webp,Black crocodile-texture top handle handbag with gold hardware in a luxury close-up,Black crocodile-texture top handle handbag with gold hardware in a luxury close-up,handbag,1122,1402
24-monochrome-black-white-runway-fashion.webp,High-fashion runway model in a monochrome black and white statement look,High-fashion runway model in a monochrome black and white statement look,fashion,1024,1536
